session_date,track_name,driver_name,lap_number,lap_time_ms,timestamp,source
2025-12-04,Thunderhill Raceway,Taylor Morgan,1,101230,2025-12-04T14:20:15Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,2,99850,2025-12-04T14:22:01Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,3,98920,2025-12-04T14:23:40Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,4,98450,2025-12-04T14:25:18Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,5,98200,2025-12-04T14:26:56Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,6,98150,2025-12-04T14:28:34Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,7,98380,2025-12-04T14:30:12Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,8,98520,2025-12-04T14:31:51Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,9,98790,2025-12-04T14:33:30Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,10,99100,2025-12-04T14:35:09Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,11,99450,2025-12-04T14:36:49Z,AiM
2025-12-04,Thunderhill Raceway,Taylor Morgan,12,99820,2025-12-04T14:38:29Z,AiM
