session_date,track_name,driver_name,lap_number,lap_time_ms,timestamp,source
2025-12-06,Sonoma Raceway,Jordan Lee,1,96850,2025-12-06T16:30:22Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,2,95620,2025-12-06T16:32:00Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,3,94890,2025-12-06T16:33:35Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,4,94320,2025-12-06T16:35:09Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,5,93850,2025-12-06/16:36:43Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,6,93420,2025-12-06T16:38:16Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,7,93150,2025-12-06T16:39:49Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,8,92980,2025-12-06T16:41:22Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,9,92850,2025-12-06T16:42:55Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,10,92720,2025-12-06T16:44:28Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,11,92650,2025-12-06T16:46:01Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,12,92580,2025-12-06T16:47:33Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,13,92520,2025-12-06T16:49:06Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,14,92480,2025-12-06T16:50:38Z,generic
2025-12-06,Sonoma Raceway,Jordan Lee,15,92450,2025-12-06T16:52:11Z,generic
